,type.x,season.x,merge,temp,tempe,river,Water.Control.Zone,site,sample,sample1,season.y,type.y,Acidobacteriota,Actinobacteriota,Alphaproteobacteria,Bacteroidota,Campylobacterota,Chlamydiota,Chloroflexota,Cyanobacteria,Deinococcota,Fibrobacterota,Firmicutes,Gammaproteobacteria,Halobacteriota,Myxococcota,Nitrospirota,Planctomycetota,Synergistota,Verrucomicrobiota
1,MP,1.feb,mp1,18,26.3,Tai Chung Hau Stream,Deep Bay,DB2,A0.MP.F,A0.MP.F,F,MP,0.00072464,0.278545423,0.205627555,0.041696032,0.000574822,2.63E-05,0.000323402,0.019053615,0.122970527,0.000214623,0.053401857,0.577941267,0,2.05E-05,0.000123032,4.10E-05,3.49E-05,4.80E-05
2,MP,1.feb,mp1,20.5,19,River Indus,Deep Bay,IN2,E0.MP.F,E0.MP.F,F,MP,4.43E-05,1.458129888,0.604128131,1.645953409,0.017898958,0.017795379,0.000354949,0.055561508,0.000108,0.023353841,0.269916714,21.1872261,8.15E-05,0.000289295,3.48E-05,0.000485488,0.000535822,7.56E-05
3,MP,1.feb,mp1,23,20.8,Kai Tak River,Victoria Harbour ,KN5,H0.MP.F,H0.MP.F,F,MP,0,0.396325328,0.503424044,1.862427749,0.025710771,0.012025146,3.47E-05,0.03350222,6.17E-05,0.016739376,0.239458766,18.49744195,0.000139418,7.10E-08,3.87E-05,0.000155679,0.000298171,0.000147257
4,MP,1.feb,mp1,19.4,20.3,Tai Shui Hang Stream,Port Shelter ,PR7,I0.MP.F,I0.MP.F,F,MP,0.00012624,0.650532206,0.168640898,1.93341531,3.52E-05,0.003052207,2.20E-05,0.025627429,0.001399706,0.001315414,0.349965937,10.76217277,7.69E-06,5.43E-06,2.54E-05,5.56E-05,1.69E-05,7.82E-06
5,MP,1.feb,mp1,19,22.5,Tung Chung River,North Western ,TC2,J0.MP.F,J0.MP.F,F,MP,0.001546151,0.10152076,3.849849069,0.043470876,0.00021803,0.000419742,0.002630075,3.877934015,0.131831146,0.000182013,0.095483513,11.71033101,0,2.48E-06,3.73E-05,5.90E-05,1.99E-05,0.000239443
6,MP,1.feb,mp1,21,23.2,Tuen Mun River,North Western ,TN2,C1.MP.F,C1.MP.F,F,MP,0.00012509,0.112797337,0.281173144,0.339033643,0.000115981,0.007535354,0.009652531,0.0799803,0.149769608,0.000940309,0.232367327,8.136319018,7.52E-05,1.75E-06,1.69E-05,1.22E-05,1.82E-05,2.01E-05
7,MP,1.feb,mp1,18.8,23.3,Tuen Mun River,North Western ,TN6,C2.MP.F,C2.MP.F,F,MP,0.002289047,0.435536608,1.04414727,8.850019496,0.000642821,0.004850216,0.018133291,1.180210614,0.16617158,0.001005865,0.302723731,2.547536047,6.76E-05,9.11E-07,0.000338782,0.000159615,0,0.00012121
8,MP,1.feb,mp1,20.1,19.8,Lam Tsuen River,Tolo Harbour and Channel ,TR12B,F2.MP.F,F2.MP.F,F,MP,0.000263639,0.659843872,1.958942969,0.540710366,0,0.009725771,9.54E-05,0.059065172,0.011595654,0.000275638,0.060521394,9.736293715,5.11E-05,1.61E-06,1.35E-05,5.74E-05,0,4.96E-06
9,MP,1.feb,mp1,18.8,21,Lam Tsuen River,Tolo Harbour and Channel ,TR12D,F1.MP.F,F1.MP.F,F,MP,0.046622397,10.90939964,1.270302628,9.113870377,0.002907568,0.014215848,1.698588215,0.179474571,0.001697077,0.000303107,0.053295898,8.145092965,0.000151977,4.71E-06,0.037107506,0.001413253,1.06E-05,0.000454406
10,MP,1.feb,mp1,18.9,19.4,Lam Tsuen River,Tolo Harbour and Channel ,TR12I,F3.MP.F,F3.MP.F,F,MP,0,2.888462886,0.659427349,0.640727513,0.228721196,0.01151217,0.00010924,0.03108859,0.000259944,0.018485991,0.21148844,25.42725606,0.000580987,0,3.97E-05,7.19E-05,0.010227278,0.000312596
