sample,type,season,merge,site,Rainfall,Temperature,Turbidity,Salinity,pH,TP,TN,COD,totalMP,SO2,DO,velocity,redundancy
1,MP,1.feb,mp1,DB2,-0.55384456,-1.213703966,-0.433357211,-0.659578241,0.050877638,-0.585054091,-0.869863559,-1.126626421,-0.72020708,-0.503768394,1.077256458,-0.635539329,-0.75501909
2,MP,1.feb,mp1,IN2,-0.580656464,-0.778074039,-0.120350043,-0.647668914,-0.270454811,-0.038936184,-0.796962692,1.155889445,0.680041969,-0.514697205,-0.014363419,-0.686604654,0.642633845
3,MP,1.feb,mp1,KN5,-0.569931702,-0.342444112,-0.251376299,0.483717175,-0.59178726,3.541170094,1.879540567,1.243678516,4.941669506,0.146241676,0.272904969,0.0283099,1.227909773
4,MP,1.feb,mp1,PR7,-0.569931702,-0.969751207,-0.404240265,-0.338026405,0.050877638,-0.433354672,-0.817791511,0.804733158,0.147338526,0.012808524,1.766700592,-0.404401541,1.349345767
5,MP,1.feb,mp1,TC2,-0.569931702,-1.039451995,-0.520708049,-0.647668914,1.496873658,-0.524374323,-0.989629269,-0.951048277,-0.377754867,-0.500591414,1.881607948,0.162692335,0.890237105
6,MP,1.feb,mp1,TN2,-0.575294083,-0.690948053,-0.185863171,-0.635759586,0.372210087,2.206215211,0.47880248,0.190209655,-0.507125703,-0.433239442,0.215451292,-0.686604654,1.816164651
7,MP,1.feb,mp1,TN6,-0.575294083,-1.074302389,-0.367844083,2.210569626,0.85420876,-0.220975486,0.416316023,0.629155014,-0.309264424,-0.111729085,-1.335798009,0.329326554,-0.677215942
8,MP,1.feb,mp1,TR12B,-0.580656464,-0.847774827,-0.520708049,-0.647668914,-0.59178726,-0.554714207,-0.375179105,0.190209655,0.10928828,-0.5122827,1.30707117,0.818478617,1.561727331
9,MP,1.feb,mp1,TR12D,-0.580656464,-1.074302389,-0.506149576,-0.659578241,-0.431121036,-0.615393975,-0.484530405,-0.59989199,1.364946394,0.171657514,0.445266003,-0.57103576,-0.760976988
10,MP,1.feb,mp1,TR12I,-0.580656464,-1.056877192,-0.338727137,0.960090265,-0.913119709,-0.129955835,-0.406422333,2.384936449,2.810855737,-0.515205521,-0.818714908,-0.630164032,1.148704768
11,MP,1.feb,mp1,TR17L,-0.575294083,-0.638672462,-0.389681792,0.602810448,0.211543862,2.479274164,-0.807377102,2.999459951,1.654128263,-0.290910747,-0.53144652,-0.640914626,0.830307653
12,MP,1.feb,mp1,TR19I,-0.575294083,-0.603822068,-0.389681792,2.222478953,0.532876311,-0.585054091,-0.036710794,-0.424313847,0.710482165,-0.112364481,-0.071817097,-0.608662842,1.430303096
13,MP,1.feb,mp1,TSR1,-0.55384456,-0.725798448,-0.127629279,-0.600031605,0.372210087,2.630973582,0.983901344,0.804733158,-0.157063441,-0.119989233,-2.255056853,-0.710793493,0.419738342
14,MP,1.feb,mp1,YL2,-0.55384456,-0.673522856,-0.20770088,-0.611940932,-0.109788587,1.478058001,0.952658115,1.155889445,-0.537565899,-0.370335242,0.100543936,1.261940652,1.452732832
15,MP,1.feb,mp1,YL4,-0.55384456,-0.847774827,0.694924441,-0.600031605,-0.59178726,1.417378234,0.520460118,0.804733158,0.345199805,-0.370970638,-1.737973753,-0.50921984,-0.193574756
16,MP,2.may,mp2,DB2,0.641966351,0.598516531,-0.346006373,-0.647668914,-0.431121036,-0.645733858,-0.812584307,-1.038837349,-0.735427178,-0.511901462,-0.014363419,-0.114135481,-0.152570395
17,MP,2.may,mp2,IN2,-0.055143149,0.772768501,-0.10579157,-0.647668914,-0.270454811,-0.281655254,-0.718854621,0.102420584,0.223439018,-0.497414434,-0.588900197,-0.565660463,-0.788838926
18,MP,2.may,mp2,KN5,1.526759177,0.650792122,-0.346006373,0.257439957,-0.59178726,1.265678815,1.827468519,2.560514592,-0.689766883,4.047572887,0.215451292,0.235258849,-0.660744105
19,MP,2.may,mp2,PR7,1.526759177,0.703067713,-0.418798738,-0.052202551,0.050877638,-0.554714207,-0.750097849,0.804733158,0.360419903,3.964971411,0.78998807,-0.59253695,-0.354963717
20,MP,2.may,mp2,TC2,-0.548482179,0.476540151,-0.47703263,-0.647668914,-0.431121036,-0.554714207,-0.869863559,-0.687681062,-0.598446293,-0.499956018,0.387812325,0.307825364,1.106298548
21,MP,2.may,mp2,TN2,-0.548482179,-0.220467732,4.145282526,-0.647668914,3.585534575,-0.069276068,0.614189804,0.629155014,1.014884132,-0.426250087,0.732534392,0.025622251,1.719261181
22,MP,2.may,mp2,TN6,-0.548482179,-0.203042535,-0.258655536,1.519828646,0.050877638,0.082423351,0.484009685,-0.687681062,-0.141843342,0.120825837,-0.876168586,-0.605975193,-0.774820341
23,MP,2.may,mp2,TR12B,-0.055143149,0.093185815,-0.404240265,-0.647668914,-0.270454811,-0.524374323,-0.354350286,-0.424313847,-0.72020708,-0.50440379,0.732534392,2.097799398,0.770553434
24,MP,2.may,mp2,TR12D,-0.055143149,-0.081066156,-0.484311866,-0.659578241,0.050877638,-0.585054091,-0.458494381,-0.59989199,-0.202723736,-0.514760744,0.962349103,-0.334522675,0.48019349
25,MP,2.may,mp2,TR12I,-0.055143149,-0.011365367,-0.426077974,0.888634302,-0.59178726,-0.403014789,-0.416836743,1.94599109,-0.461465408,0.152595635,-1.508159042,-0.259268511,-0.638840066
26,MP,2.may,mp2,TR17L,-0.55384456,0.42426456,-0.244097063,0.72190372,-0.109788587,-0.403014789,-0.401215129,-0.512102918,0.710482165,0.394046101,-0.588900197,-0.630164032,-0.327101779
