"","type","number","indicator","season"
"1","MP",34,"MPnonindicator","1.feb"
"2","MP",2,"MPindicator","1.feb"
"3","MP",53,"MPnonindicator","2.may"
"4","MP",4,"MPindicator","2.may"
"5","MP",86,"MPnonindicator","3.aug"
"6","MP",16,"MPindicator","3.aug"
"7","MP",41,"MPnonindicator","4.nov"
"8","MP",4,"MPindicator","4.nov"
"9","NP",0,"NPindicator","1.feb"
"10","NP",28,"NPnonidicator","1.feb"
"11","NP",1,"NPindicator","2.may"
"12","NP",100,"NPnonidicator","2.may"
"13","NP",9,"NPindicator","3.aug"
"14","NP",150,"NPnonidicator","3.aug"
"15","NP",0,"NPindicator","4.nov"
"16","NP",77,"NPnonidicator","4.nov"
