MAG,indicator,season,exchange,phylum,type
A.TR17L.MP.2.fa,N,1.feb,NA,c__Alphaproteobacteria,onlyMP
A.YL4.MP.5.fa,N,1.feb,5,c__Alphaproteobacteria,onlyMP
M.PR7.nonMP.22.fa,N,1.feb,NA,c__Alphaproteobacteria,onlyMP
M.TR12D.MP.1.fa,N,1.feb,5,c__Alphaproteobacteria,onlyMP
M.TR12I.nonMP.1.fa,N,1.feb,NA,c__Alphaproteobacteria,onlyMP
M.W.TR17L.28.fa,N,1.feb,NA,c__Alphaproteobacteria,onlyMP
S.KN5.W.16.semibin.fa,N,1.feb,NA,c__Alphaproteobacteria,onlyMP
S.TR17L.nonMP.20.fa,N,1.feb,NA,c__Alphaproteobacteria,onlyMP
S.TR17L.nonMP.27.fa,N,1.feb,NA,c__Alphaproteobacteria,onlyMP
A.TR17L.MP.2.fa,Y,2.may,5,c__Alphaproteobacteria,onlyMP
A.YL4.MP.5.fa,N,2.may,NA,c__Alphaproteobacteria,onlyMP
M.PR7.nonMP.22.fa,N,2.may,NA,c__Alphaproteobacteria,onlyMP
M.TR12D.MP.1.fa,N,2.may,NA,c__Alphaproteobacteria,onlyMP
M.TR12I.nonMP.1.fa,N,2.may,NA,c__Alphaproteobacteria,onlyMP
M.W.TR17L.28.fa,N,2.may,NA,c__Alphaproteobacteria,onlyMP
S.KN5.W.16.semibin.fa,N,2.may,NA,c__Alphaproteobacteria,onlyMP
S.TR17L.nonMP.20.fa,N,2.may,NA,c__Alphaproteobacteria,onlyMP
S.TR17L.nonMP.27.fa,N,2.may,NA,c__Alphaproteobacteria,onlyMP
A.TR17L.MP.2.fa,Y,3.nov,NA,c__Alphaproteobacteria,onlyMP
A.YL4.MP.5.fa,N,3.nov,NA,c__Alphaproteobacteria,onlyMP
M.PR7.nonMP.22.fa,Y,3.nov,5,c__Alphaproteobacteria,onlyMP
M.TR12D.MP.1.fa,Y,3.nov,NA,c__Alphaproteobacteria,onlyMP
M.TR12I.nonMP.1.fa,N,3.nov,NA,c__Alphaproteobacteria,onlyMP
M.W.TR17L.28.fa,N,3.nov,NA,c__Alphaproteobacteria,onlyMP
S.KN5.W.16.semibin.fa,N,3.nov,5,c__Alphaproteobacteria,onlyMP
S.TR17L.nonMP.20.fa,N,3.nov,NA,c__Alphaproteobacteria,onlyMP
S.TR17L.nonMP.27.fa,N,3.nov,NA,c__Alphaproteobacteria,onlyMP
